"","OTU","X","LogMeanMax","Class","LDA","pValue","exp","testingGroup","genus","experiment"
"171","Otu0065",82935,3.38392,"early",2.948,0.00601434,"PRJEB20299","treatment","Pedobacter(100)","PRJEB20299"
"172","Otu0065",79569,3.3786,"early",2.99441,0.00396059,"PRJEB20299","treatment","Pedobacter(100)","PRJEB20299"
"173","Otu0066",87319,3.33411,"late",2.8193,0.0414473,"PRJEB20299","stage","Sphingobium(99)","PRJEB20299"
"174","Otu0066",90685,3.34035,"late",2.88557,0.0189816,"PRJEB20299","stage","Sphingobium(99)","PRJEB20299"
"175","Otu0066",71821,3.29905,"TRUE",2.75629,0.0141714,"PRJEB20299","turned","Sphingobium(99)","PRJEB20299"
"176","Otu0066",75187,3.30791,"TRUE",2.81623,0.00670628,"PRJEB20299","turned","Sphingobium(99)","PRJEB20299"
"177","Otu0067",79571,3.38405,"early",2.99941,0.0294828,"PRJEB20299","treatment","Chryseobacterium(100)","PRJEB20299"
"178","Otu0069",87322,3.35488,"late",2.99395,0.011335,"PRJEB20299","stage","Stenotrophomonas(100)","PRJEB20299"
"179","Otu0069",71824,3.33676,"TRUE",2.98242,0.00285974,"PRJEB20299","turned","Stenotrophomonas(100)","PRJEB20299"
"180","Otu0069",75190,3.34117,"TRUE",3.02291,0.00298601,"PRJEB20299","turned","Stenotrophomonas(100)","PRJEB20299"
"181","Otu0069",90688,3.35295,"late",3.0443,0.0117903,"PRJEB20299","stage","Stenotrophomonas(100)","PRJEB20299"
"182","Otu0070",71825,3.35403,"TRUE",2.97031,0.00194577,"PRJEB20299","turned","Alcaligenaceae_unclassified(100)","PRJEB20299"
"183","Otu0070",75191,3.35658,"TRUE",3.01289,0.00194577,"PRJEB20299","turned","Alcaligenaceae_unclassified(100)","PRJEB20299"
"184","Otu0070",90689,3.4347,"middle",3.08803,0.00777266,"PRJEB20299","stage","Alcaligenaceae_unclassified(100)","PRJEB20299"
"185","Otu0070",87323,3.42782,"middle",3.08922,0.00811302,"PRJEB20299","stage","Alcaligenaceae_unclassified(100)","PRJEB20299"
"186","Otu0071",71826,3.28835,"TRUE",2.94815,0.00974268,"PRJEB20299","turned","Sphingobium(99)","PRJEB20299"
"187","Otu0071",75192,3.27956,"TRUE",2.96646,0.00974633,"PRJEB20299","turned","Sphingobium(99)","PRJEB20299"
"188","Otu0071",87324,3.41623,"late",3.06171,0.0211505,"PRJEB20299","stage","Sphingobium(99)","PRJEB20299"
"189","Otu0071",90690,3.40571,"late",3.11336,0.0211505,"PRJEB20299","stage","Sphingobium(99)","PRJEB20299"
"190","Otu0072",82942,3.16787,"early",2.68712,0.0350241,"PRJEB20299","treatment","Pararhizobium(80)","PRJEB20299"
"191","Otu0073",75194,3.25721,"FALSE",2.73114,0.0141767,"PRJEB20299","turned","Paenibacillaceae_unclassified(99)","PRJEB20299"
"192","Otu0073",71828,3.24307,"FALSE",2.76998,0.02,"PRJEB20299","turned","Paenibacillaceae_unclassified(99)","PRJEB20299"
"193","Otu0073",90692,3.25721,"early",2.92842,0.0102208,"PRJEB20299","stage","Paenibacillaceae_unclassified(99)","PRJEB20299"
"194","Otu0073",87326,3.24307,"early",2.90209,0.0118157,"PRJEB20299","stage","Paenibacillaceae_unclassified(99)","PRJEB20299"
"195","Otu0075",75196,3.22176,"TRUE",2.8816,0.0280237,"PRJEB20299","turned","Hyphomicrobiales_unclassified(100)","PRJEB20299"
"196","Otu0075",71830,3.23386,"TRUE",2.80052,0.0273246,"PRJEB20299","turned","Hyphomicrobiales_unclassified(100)","PRJEB20299"
"197","Otu0076",90695,3.19361,"late",2.82026,0.0384982,"PRJEB20299","stage","Hymenobacter(100)","PRJEB20299"
"198","Otu0077",75198,3.00395,"FALSE",2.55326,0.0117318,"PRJEB20299","turned","Hymenobacter(100)","PRJEB20299"
"199","Otu0077",90696,3.00395,"early",2.51881,0.03137,"PRJEB20299","stage","Hymenobacter(100)","PRJEB20299"
"200","Otu0077",71832,2.96198,"FALSE",2.44548,0.0195919,"PRJEB20299","turned","Hymenobacter(100)","PRJEB20299"
"201","Otu0081",90700,3.07289,"late",2.69399,0.0219212,"PRJEB20299","stage","Deltaproteobacteria_unclassified(85)","PRJEB20299"
"202","Otu0081",71836,2.92037,"TRUE",2.54718,0.0137495,"PRJEB20299","turned","Deltaproteobacteria_unclassified(85)","PRJEB20299"
"203","Otu0081",75202,2.92726,"TRUE",2.49368,0.0140707,"PRJEB20299","turned","Deltaproteobacteria_unclassified(85)","PRJEB20299"
"204","Otu0081",87334,3.06552,"late",2.72887,0.0213712,"PRJEB20299","stage","Deltaproteobacteria_unclassified(85)","PRJEB20299"
"205","Otu0082",71837,2.99416,"FALSE",2.5605,0.0186527,"PRJEB20299","turned","Methylobacterium(100)","PRJEB20299"
"206","Otu0082",75203,2.98819,"FALSE",2.61932,0.0281967,"PRJEB20299","turned","Methylobacterium(100)","PRJEB20299"
"207","Otu0082",87335,2.99416,"early",2.5813,0.0467311,"PRJEB20299","stage","Methylobacterium(100)","PRJEB20299"
